Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,84.5,-56.0,0.0,top
C2,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,83.5,-53.75,90.0,top
C3,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,74.0,-53.75,90.0,top
C4,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,84.5,-57.5,0.0,top
C5,27p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,72.5,-69.5,-90.0,top
C6,27p,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,79.5,-69.5,-90.0,top
C7,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,79.0,-66.0,-90.0,top
C8,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,77.0,-53.75,90.0,top
C9,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,80.5,-66.0,-90.0,top
C10,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,78.5,-53.75,90.0,top
C11,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,75.5,-53.75,90.0,top
C12,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,82.25,-53.75,90.0,top
C13,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,84.5,-60.9,0.0,top
C14,10u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,82.0675,-40.5,0.0,top
C15,10u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,84.5,-51.46,0.0,top
C16,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,79.1,-51.25,0.0,top
C17,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,72.5,-61.2,180.0,top
D1,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,78.75,-74.0,-90.0,top
FB1,FerriteBead,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,80.0,-39.5,-90.0,top
J1,Conn_02x15_Odd_Even,PinSocket_1x18_P2.54mm_Vertical,68.775,-78.275,180.0,top
J2,Conn_02x15_Odd_Even,PinSocket_1x18_P2.54mm_Vertical,88.5,-78.275,180.0,top
J3,USB_B_Micro,DEALON USB-MR-D-037,78.5,-35.5,180.0,top
R1,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,81.0,-69.5,90.0,top
R2,27.4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,81.0,-53.75,-90.0,top
R3,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,83.5,-66.0,90.0,top
R4,27.4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,79.75,-53.75,-90.0,top
R5,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,82.0,-66.0,90.0,top
R6,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,82.5,-69.5,90.0,top
R7,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,77.5,-41.0,-90.0,top
R8,1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,77.5,-66.0,90.0,top
SW1,SW_Push,BZCN TSC003A0826A,75.0,-76.0,90.0,top
SW2,SW_Push,BZCN TSC003A0826A,82.5,-76.0,90.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,78.5,-60.0,0.0,top
U2,TPUSBLC6-4SC6,SOT-23-6_Handsoldering,74.0,-40.5,0.0,top
U3,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,82.0,-46.0,-90.0,top
U4,FM25W32,SOP-8_5.28x5.23mm_P1.27mm,74.5,-47.5,-90.0,top
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,76.0,-69.5,180.0,top
